NAME                                       READY   STATUS    RESTARTS   AGE     IP            NODE            NOMINATED NODE   READINESS GATES
control-plane-correlator-f8fc88d67-kb8vx   1/1     Running   0          16m     10.42.2.232   192.168.1.240   <none>           <none>
f1proxy10-66d5c5dcb7-5nlpq                 1/1     Running   0          13m     10.42.1.127   192.168.1.68    <none>           <none>
mysql-69c4c947fc-r6vjg                     1/1     Running   0          16m     10.42.2.231   192.168.1.240   <none>           <none>
ngapproxy10-6f6d95cbbb-gxbb4               1/1     Running   0          14m     10.42.1.125   192.168.1.68    <none>           <none>
oai-amf10-847c8b5599-mhlfh                 3/3     Running   0          15m     10.42.2.237   192.168.1.240   <none>           <none>
oai-ausf10-d7c485c68-69jg2                 3/3     Running   0          15m     10.42.2.236   192.168.1.240   <none>           <none>
oai-dnn10-767ddc7f4b-j64c5                 1/1     Running   0          11m     10.42.2.240   192.168.1.240   <none>           <none>
oai-gnb-cu10-7cc59cb9b4-5w2fm              2/2     Running   0          14m     10.42.1.126   192.168.1.68    <none>           <none>
oai-gnb-du10-5cf7896486-xbwwf              2/2     Running   0          13m     10.42.1.128   192.168.1.68    <none>           <none>
oai-nr-ue10-5574bd9c5d-gr82t               2/2     Running   0          8m47s   10.42.1.132   192.168.1.68    <none>           <none>
oai-nrf10-5f87f6cb87-lzsd7                 3/3     Running   0          15m     10.42.2.233   192.168.1.240   <none>           <none>
oai-smf10-b87f44b99-x2s2t                  3/3     Running   0          14m     10.42.2.238   192.168.1.240   <none>           <none>
oai-spgwu-tiny10-6579fd59b-wrfjr           2/2     Running   0          14m     10.42.2.239   192.168.1.240   <none>           <none>
oai-udm10-fd7f5fddd-jk75r                  3/3     Running   0          15m     10.42.2.235   192.168.1.240   <none>           <none>
oai-udr10-58798fbb58-6qmjn                 3/3     Running   0          15m     10.42.2.234   192.168.1.240   <none>           <none>
